"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","3339935","","","","0"
"1991-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","3352585","","","","0"
"1991-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","3373787","","","","0"
"1991-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","3404049","","","","0"
"1992-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","3423217","","","","0"
"1992-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","3443237","","","","0"
"1992-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","3468802","","","","0"
"1992-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","3502209","","","","0"
"1993-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","3522509","","","","0"
"1993-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","3541936","","","","0"
"1993-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","3567772","","","","0"
"1993-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","3601746","","","","0"
"1994-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","3623717","","","","0"
"1994-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","3646632","","","","0"
"1994-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","3676075","","","","0"
"1994-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","3711468","","","","0"
"1995-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","3730564","","","","0"
"1995-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","3751377","","","","0"
"1995-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","3777390","","","","0"
"1995-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","3805461","","","","0"
"1996-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","3826739","","","","0"
"1996-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","3849847","","","","0"
"1996-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","3874317","","","","0"
"1996-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","3899256","","","","0"
"1997-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","3914490","","","","0"
"1997-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","3931056","","","","0"
"1997-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","3948583","","","","0"
"1997-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","3964677","","","","0"
"1998-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","3972821","","","","0"
"1998-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","3977912","","","","0"
"1998-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","3983113","","","","0"
"1998-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","3990451","","","","0"
"1999-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","3995643","","","","0"
"1999-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4002433","","","","0"
"1999-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4011375","","","","0"
"1999-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4021600","","","","0"
"2000-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4026664","","","","0"
"2000-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4033319","","","","0"
"2000-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4039230","","","","0"
"2000-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4049297","","","","0"
"2001-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4055229","","","","0"
"2001-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4066132","","","","0"
"2001-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4076950","","","","0"
"2001-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4085648","","","","0"
"2002-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4087191","","","","0"
"2002-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4094236","","","","0"
"2002-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4100564","","","","0"
"2002-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4108400","","","","0"
"2003-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4110242","","","","0"
"2003-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4114925","","","","0"
"2003-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4124482","","","","0"
"2003-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4134638","","","","0"
"2004-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4139946","","","","0"
"2004-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4145951","","","","0"
"2004-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4155651","","","","0"
"2004-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4167810","","","","0"
"2005-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4174018","","","","0"
"2005-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4182963","","","","0"
"2005-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4196062","","","","0"
"2005-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4212666","","","","0"
"2006-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4217962","","","","0"
"2006-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4227986","","","","0"
"2006-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4241794","","","","0"
"2006-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4258655","","","","0"
"2007-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4265321","","","","0"
"2007-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4276743","","","","0"
"2007-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4290984","","","","0"
"2007-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4312042","","","","0"
"2008-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4319652","","","","0"
"2008-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4331699","","","","0"
"2008-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4349336","","","","0"
"2008-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4371124","","","","0"
"2009-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4381829","","","","0"
"2009-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4395190","","","","0"
"2009-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4410506","","","","0"
"2009-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4431576","","","","0"
"2010-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4441329","","","","0"
"2010-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4453744","","","","0"
"2010-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4465546","","","","0"
"2010-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4483609","","","","0"
"2011-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4482260","","","","0"
"2011-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4488508","","","","0"
"2011-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4502104","","","","0"
"2011-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4525684","","","","0"
"2012-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4536084","","","","0"
"2012-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4548438","","","","0"
"2012-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4566769","","","","0"
"2012-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4590545","","","","0"
"2013-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4598255","","","","0"
"2013-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4611648","","","","0"
"2013-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4630077","","","","0"
"2013-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4658875","","","","0"
"2014-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4666788","","","","0"
"2014-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4684490","","","","0"
"2014-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4707103","","","","0"
"2014-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4737725","","","","0"
"2015-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4745468","","","","0"
"2015-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4757759","","","","0"
"2015-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4776388","","","","0"
"2015-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4802955","","","","0"
"2016-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4811465","","","","0"
"2016-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4832155","","","","0"
"2016-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4859250","","","","0"
"2016-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4884002","","","","0"
"2017-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4890848","","","","0"
"2017-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4905210","","","","0"
"2017-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4929384","","","","0"
"2017-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4956550","","","","0"
"2018-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4967421","","","","0"
"2018-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4983183","","","","0"
"2018-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","5010476","","","","0"
"2018-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","5039661","","","","0"
"2019-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","5046576","","","","0"


